measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2014,27169.56103,30556.51607,24058.63672
1,Deaths,216,Republic of Senegal,3,Both,22,All ages,294,All causes,1,Number,1980,96277.90572,103460.1087,89032.75436
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2015,27176.13952,31203.0292,24068.77761
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,1,Number,1981,84912.14867,85643.36998,84251.88058
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2016,27340.02089,31037.36812,24129.09594
1,Deaths,367,Principality of Monaco,3,Both,22,All ages,294,All causes,1,Number,1982,415.3498541,451.0584309,373.7974281
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2017,27399.34403,31077.08709,23975.57695
1,Deaths,62,Russian Federation,3,Both,22,All ages,294,All causes,1,Number,1981,1519814.165,1523692.796,1515810.676
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2018,27502.31335,31311.44644,24082.95285
1,Deaths,207,Republic of Ghana,3,Both,22,All ages,294,All causes,1,Number,1980,135664.5135,150139.2009,122598.128
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2019,27676.63201,31986.96303,23571.91008
1,Deaths,178,State of Eritrea,3,Both,22,All ages,294,All causes,1,Number,1983,52089.60445,56801.15935,47987.1135
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2020,28058.74646,32475.53581,24128.27703
1,Deaths,95,United Kingdom of Great Britain and Northern Ireland,3,Both,22,All ages,294,All causes,1,Number,1980,661998.8221,664157.1929,659874.0322
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2021,28299.46055,32408.21712,24465.81323
1,Deaths,208,Republic of Guinea,3,Both,22,All ages,294,All causes,1,Number,1980,100031.4142,110953.2168,89410.21449
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,1990,33717.85081,40971.01417,27737.76158
1,Deaths,135,Federative Republic of Brazil,3,Both,22,All ages,294,All causes,1,Number,1980,868994.9088,902978.5378,835648.5291
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,1991,33818.30973,40892.64551,27670.4564
1,Deaths,193,Republic of Botswana,3,Both,22,All ages,294,All causes,1,Number,1981,8847.852567,10108.18849,7728.840768
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,1992,33891.4474,40665.912,27852.78591
1,Deaths,169,Central African Republic,3,Both,22,All ages,294,All causes,1,Number,1982,41361.08772,45616.38805,37540.34245
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,1993,34046.48556,40348.37858,27847.95707
1,Deaths,72,New Zealand,3,Both,22,All ages,294,All causes,1,Number,1982,25321.3903,25552.82927,25090.06609
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,1994,34056.28005,40396.26361,28093.0859
1,Deaths,179,Federal Democratic Republic of Ethiopia,3,Both,22,All ages,294,All causes,1,Number,1983,905794.3562,954737.9849,856588.813
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,1995,63621.96684,115921.3688,40644.77267
1,Deaths,194,Kingdom of Lesotho,3,Both,22,All ages,294,All causes,1,Number,1981,14874.96181,16644.00227,13237.34803
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,1996,55969.61796,94939.61509,38283.93533
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,1,Number,1984,88983.23761,89697.29575,88250.59775
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,1997,55642.70436,93894.63487,38199.05207
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,1,Number,1983,88278.05322,89090.22039,87417.01635
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,1998,55352.24277,92794.06009,38225.76124
1,Deaths,522,Republic of Sudan,3,Both,22,All ages,294,All causes,1,Number,1981,209320.4609,229888.7161,189156.5533
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,1999,54939.07855,91680.32155,37899.72032
1,Deaths,202,Republic of Cameroon,3,Both,22,All ages,294,All causes,1,Number,1982,112185.7882,121807.196,103221.0205
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2000,54554.69336,90216.07926,38100.57986
1,Deaths,212,Islamic Republic of Mauritania,3,Both,22,All ages,294,All causes,1,Number,1980,18916.95446,20967.65382,16908.18288
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2001,54134.4463,88948.94387,37824.00277
1,Deaths,127,Republic of El Salvador,3,Both,22,All ages,294,All causes,1,Number,1981,58087.917,63894.3893,53738.96982
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2002,53565.3652,87755.58731,37454.34266
1,Deaths,95,United Kingdom of Great Britain and Northern Ireland,3,Both,22,All ages,294,All causes,1,Number,1981,657804.3319,659968.8986,655395.7988
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2003,33487.48321,39157.24368,28277.19856
1,Deaths,114,Republic of Haiti,3,Both,22,All ages,294,All causes,1,Number,1983,83297.47868,91065.33131,75751.88766
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2004,33382.55747,38943.1341,28273.91701
1,Deaths,168,Republic of Angola,3,Both,22,All ages,294,All causes,1,Number,1980,137959.1592,157234.0259,120309.0518
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2005,33243.86349,38709.34857,28170.79382
1,Deaths,128,Republic of Guatemala,3,Both,22,All ages,294,All causes,1,Number,1981,77886.36758,85744.42527,71982.96758
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2006,33370.72583,39077.3182,28370.67473
1,Deaths,102,United States of America,3,Both,22,All ages,294,All causes,1,Number,1980,1973434.721,1977362.683,1969349.083
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2007,33704.89731,39241.848,28762.51273
1,Deaths,205,Republic of Côte d'Ivoire,3,Both,22,All ages,294,All causes,1,Number,1980,98648.63412,106674.193,90349.66555
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2008,33937.82527,39459.1534,29000.90658
1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,294,All causes,1,Number,1982,375.8146941,411.0777818,346.6361953
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2009,34252.83252,40064.13529,29342.46574
1,Deaths,206,Republic of the Gambia,3,Both,22,All ages,294,All causes,1,Number,1982,8555.02706,9543.453431,7604.878633
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2010,34306.76073,40026.75433,29389.98787
1,Deaths,98,Republic of Chile,3,Both,22,All ages,294,All causes,1,Number,1981,70008.98307,70496.40386,69543.34466
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2011,34200.13134,39802.90266,29052.83505
1,Deaths,39,Republic of Tajikistan,3,Both,22,All ages,294,All causes,1,Number,1982,36355.01503,38714.85965,34229.49766
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2012,34069.42925,39954.56717,29113.41903
1,Deaths,113,Republic of Guyana,3,Both,22,All ages,294,All causes,1,Number,1983,6152.133061,6930.28662,5446.79834
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2013,33864.55445,39818.18463,28991.4075
1,Deaths,202,Republic of Cameroon,3,Both,22,All ages,294,All causes,1,Number,1980,113417.9672,123347.9148,103564.6892
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2014,33663.47417,39538.7524,28848.57894
1,Deaths,48,Hungary,3,Both,22,All ages,294,All causes,1,Number,1981,145498.8253,146688.4926,144274.1948
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2015,33513.47489,39261.1469,28743.00886
1,Deaths,141,Arab Republic of Egypt,3,Both,22,All ages,294,All causes,1,Number,1982,537296.0558,572474.8669,506535.8045
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2016,33482.34482,39391.71173,28617.28243
1,Deaths,380,Republic of Palau,3,Both,22,All ages,294,All causes,1,Number,1982,104.4314644,125.0962187,86.37281552
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2017,33353.42973,39335.00363,28278.41766
1,Deaths,45,Republic of Bulgaria,3,Both,22,All ages,294,All causes,1,Number,1981,97513.63107,100395.2241,95189.71671
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2018,33384.53637,39382.99871,28363.08715
1,Deaths,101,Canada,3,Both,22,All ages,294,All causes,1,Number,1981,171019.2289,171778.0173,170241.3849
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2019,33397.82244,39364.13783,28179.97893
1,Deaths,19,Democratic Republic of Timor-Leste,3,Both,22,All ages,294,All causes,1,Number,1980,9476.659088,10492.54848,8619.673254
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2020,33615.53177,39759.57363,28270.15725
1,Deaths,211,Republic of Mali,3,Both,22,All ages,294,All causes,1,Number,1982,158610.5978,170191.4064,148105.8824
2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,3,Rate,2021,33654.89892,40010.02044,27951.46234
1,Deaths,160,Islamic Republic of Afghanistan,3,Both,22,All ages,294,All causes,1,Number,1981,272345.0562,352417.5196,228391.8994
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,1990,23759.23571,26299.731,21557.67695
1,Deaths,196,Republic of South Africa,3,Both,22,All ages,294,All causes,1,Number,1983,301703.3532,315426.163,287518.7064
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,1991,23594.07736,26151.98382,21427.48427
1,Deaths,196,Republic of South Africa,3,Both,22,All ages,294,All causes,1,Number,1981,300193.9912,315458.5281,284621.6474
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,1992,23704.13253,26289.70638,21541.73852
1,Deaths,374,Republic of Niue,3,Both,22,All ages,294,All causes,1,Number,1980,31.65008021,37.07610618,27.09707933
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,1993,23804.86749,26384.18306,21593.50075
1,Deaths,99,Eastern Republic of Uruguay,3,Both,22,All ages,294,All causes,1,Number,1981,27737.35701,28031.1537,27448.21865
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,1994,24042.83596,26699.22543,21788.87454
1,Deaths,161,People's Republic of Bangladesh,3,Both,22,All ages,294,All causes,1,Number,1981,1210898.481,1299430.174,1124976.187
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,1995,24422.51634,27097.7496,22123.84452
1,Deaths,23,Republic of Kiribati,3,Both,22,All ages,294,All causes,1,Number,1982,667.25255,757.5657619,582.5058579
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,1996,24667.10264,27337.72671,22390.26426
1,Deaths,147,State of Libya,3,Both,22,All ages,294,All causes,1,Number,1983,18902.98005,21017.07987,16984.18428
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,1997,24320.71479,27002.91646,22060.73043
1,Deaths,170,Republic of the Congo,3,Both,22,All ages,294,All causes,1,Number,1982,24458.31422,27501.22412,21685.9441
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,1998,24247.35125,26948.71013,21912.90046
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,1,Number,1985,90135.82125,90885.33764,89409.72683
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,1999,24460.17089,27258.61417,22055.22807
1,Deaths,198,Republic of Zimbabwe,3,Both,22,All ages,294,All causes,1,Number,1981,67300.85411,73185.00086,60960.9095
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2000,24183.33264,26847.16975,21824.83433
1,Deaths,200,Republic of Benin,3,Both,22,All ages,294,All causes,1,Number,1981,58672.93829,63937.57455,53709.26605
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2001,24172.3411,26921.47768,21773.4825
1,Deaths,23,Republic of Kiribati,3,Both,22,All ages,294,All causes,1,Number,1980,642.6072709,737.2461996,557.1236728
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2002,23888.29385,26743.44457,21498.07002
1,Deaths,369,Republic of Nauru,3,Both,22,All ages,294,All causes,1,Number,1982,73.66170742,88.60861671,60.31569969
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2003,24067.3934,26928.29957,21585.94306
1,Deaths,33,Republic of Armenia,3,Both,22,All ages,294,All causes,1,Number,1983,20613.74681,21529.55004,19715.48013
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2004,24501.65449,27453.61379,22022.41934
1,Deaths,49,North Macedonia,3,Both,22,All ages,294,All causes,1,Number,1981,13571.59588,13903.12595,13203.09072
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2005,24962.21845,27907.27412,22449.92996
1,Deaths,131,Republic of Nicaragua,3,Both,22,All ages,294,All causes,1,Number,1981,20793.99304,22726.05206,18904.30588
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2006,24809.04606,27799.06138,22246.65083
1,Deaths,183,Republic of Mauritius,3,Both,22,All ages,294,All causes,1,Number,1983,6295.78567,6459.221288,6156.351712
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2007,24788.8082,27798.56805,22197.09733
1,Deaths,201,Burkina Faso,3,Both,22,All ages,294,All causes,1,Number,1981,145521.5614,156733.748,134633.4138
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2008,24891.69339,27915.60926,22295.89879
1,Deaths,34,Republic of Azerbaijan,3,Both,22,All ages,294,All causes,1,Number,1983,49336.08616,51387.35544,47178.07038
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2009,24896.81824,28083.39316,22257.28209
1,Deaths,24,Republic of the Marshall Islands,3,Both,22,All ages,294,All causes,1,Number,1980,230.479645,257.7919119,203.519706
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2010,24938.70624,28105.89799,22262.1075
1,Deaths,24,Republic of the Marshall Islands,3,Both,22,All ages,294,All causes,1,Number,1982,241.4985033,266.7068302,216.9167408
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2011,25733.58897,28940.15353,23055.06549
1,Deaths,216,Republic of Senegal,3,Both,22,All ages,294,All causes,1,Number,1982,94708.26101,101234.9308,87741.51279
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2012,25840.30236,29046.60371,23050.63003
1,Deaths,22,Republic of Fiji,3,Both,22,All ages,294,All causes,1,Number,1980,3666.060364,3889.53295,3473.973696
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2013,25814.34176,28992.7469,23018.87398
1,Deaths,200,Republic of Benin,3,Both,22,All ages,294,All causes,1,Number,1983,60702.77943,65692.59887,55717.48516
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2014,26384.46661,29686.12892,23595.10717
1,Deaths,165,Islamic Republic of Pakistan,3,Both,22,All ages,294,All causes,1,Number,1983,943769.4753,1003893.664,888815.2079
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2015,26391.67693,29729.15875,23548.94471
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,1,Number,1980,82996.71576,83637.84506,82382.54085
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2016,27082.05638,30451.25882,24168.82281
1,Deaths,117,Saint Vincent and the Grenadines,3,Both,22,All ages,294,All causes,1,Number,1983,699.3153431,750.8824598,656.9746417
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2017,26936.12375,30402.07578,23969.52593
1,Deaths,54,Slovak Republic,3,Both,22,All ages,294,All causes,1,Number,1981,50351.88971,51061.71953,49660.60695
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2018,27140.01341,30675.7323,24137.7403
1,Deaths,201,Burkina Faso,3,Both,22,All ages,294,All causes,1,Number,1983,146063.5222,156150.9757,135274.9115
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2019,27388.49895,30960.22135,24396.30909
1,Deaths,72,New Zealand,3,Both,22,All ages,294,All causes,1,Number,1980,25970.41719,26237.27132,25708.7908
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2020,27133.31431,30764.69801,24104.70942
1,Deaths,20,Socialist Republic of Viet Nam,3,Both,22,All ages,294,All causes,1,Number,1980,443539.1432,519890.4917,384182.6661
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,3,Rate,2021,28075.4623,31783.93981,24954.04111
1,Deaths,144,Hashemite Kingdom of Jordan,3,Both,22,All ages,294,All causes,1,Number,1981,13317.85394,14455.65395,12144.89543
2,DALYs (Disability-Adjusted Life Years),10,Kingdom of Cambodia,3,Both,22,All ages,294,All causes,3,Rate,1990,76791.47603,82127.37647,71158.89983
1,Deaths,151,State of Qatar,3,Both,22,All ages,294,All causes,1,Number,1980,928.1879586,1083.514964,783.627119
2,DALYs (Disability-Adjusted Life Years),10,Kingdom of Cambodia,3,Both,22,All ages,294,All causes,3,Rate,1991,74597.9202,80181.43009,69487.0044
1,Deaths,47,Czech Republic,3,Both,22,All ages,294,All causes,1,Number,1982,130650.8194,131892.1535,129440.5366
2,DALYs (Disability-Adjusted Life Years),10,Kingdom of Cambodia,3,Both,22,All ages,294,All causes,3,Rate,1992,72098.92971,77228.12467,66988.34137
